"DiscreteTimes","Value"
0.1,0.34831226251644853
0.2,0.4694001491953852
0.3,0.5842329127838006
0.4,0.6959181425090684
0.5,0.8059969803432097
0.6,0.915250059634154
0.7,1.024077094911739
0.8,1.1326838983240677
0.9,1.241176747191922
1.0,1.3496106026653862
1.1,1.4580139096931006
1.2,1.5664013957227212
1.3,1.674780687502448
1.4,1.7831557350379796
1.5,1.891528584208956
1.6,1.9999002946956352
1.7,2.108271415376393
1.8,2.216642230553717
1.9,2.325012887488384
2.0,2.4333834624575275
2.1,2.5417539949705343
2.2,2.6501245054924993
2.3,2.758495004623569
2.4,2.866865497854505
2.5,2.9752359880293966
2.6,3.0836064766212132
2.7,3.191976964393035
2.8,3.3003474517402083
2.9,3.4087179388673405
3.0,3.5170884258806723
3.1,3.62545891283483
3.2,3.7338293997584344
3.3,3.8421998866661795
3.4,3.9505703735657676
3.5,4.058940860461092
3.6,4.1673113473542
3.7,4.275681834246171
3.8,4.384052321137517
3.9,4.492422808028607
4.0,4.600793294919583
4.1,4.709163781810389
4.2,4.817534268701223
4.3,4.925904755592057
4.4,5.0342752424827495
4.5,5.142645729373498
4.6,5.251016216264276
4.7,5.359386703154996
4.8,5.4677571900457735
4.9,5.576127676936466
5.0,5.684498163827271
5.1,5.792868650718049
5.2,5.901239137608741
5.3,6.00960962449949
5.4,6.117980111390182
5.5,6.226350598280874
5.6,6.334721085171623
5.7,6.443091572062258
5.8,6.551462058953064
5.9,6.659832545843926
6.0,6.768203032734675
6.1,6.876573519625424
6.2,6.9849440065160024
6.3,7.093314493406979
6.4,7.2016849802977845
6.5,7.310055467188533
6.6,7.4184259540792254
6.7,7.526796440970088
6.8,7.635166927861064
6.9,7.743537414751813
7.0,7.851907901642505
7.1,7.960278388533311
7.2,8.068648875424003
7.3,8.177019362315093
7.4,8.285389849205899
7.5,8.393760336096705
7.6,8.50213082298751
7.7,8.610501309878373
7.8,8.71887179676935
7.9,8.827242283660155
8.0,8.935612770550904
8.1,9.043983257441766
8.2,9.152353744332572
8.3,9.260724231223321
8.4,9.369094718114127
8.5,9.477465205004933
8.6,9.585835691895909
8.7,9.694206178786715
8.8,9.802576665677293
8.9,9.910947152568156
9.0,10.019317639458961
9.1,10.127688126349938
9.2,10.236058613240687
9.3,10.344429100131151
9.4,10.452799587022184
9.5,10.561170073912933
9.6,10.66954056080391
9.7,10.777911047694658
9.8,10.886281534585123
9.9,10.994652021476156
10.0,11.103022508366848
10.1,11.211392995257768
10.2,11.319763482148346
10.3,11.428133969038868
10.4,11.53650445592973
10.5,11.644874942820593
10.6,11.753245429711455
10.7,11.861615916602204
10.8,11.96998640349284
10.9,12.078356890383589
11.0,12.186727377274337
11.1,12.295097864165314
11.2,12.403468351056176
11.3,12.511838837946925
11.4,12.620209324837674
11.5,12.728579811728537
11.6,12.836950298619627
11.7,12.945320785510376
11.8,13.053691272401124
11.9,13.162061759291987
12.0,13.27043224618285
12.1,13.37880273307394
12.2,13.487173219964689
12.3,13.595543706855437
12.4,13.703914193746414
12.5,13.812284680637163
12.6,13.920655167528139
12.7,14.029025654419115
12.8,14.137396141309864
12.9,14.245766628200613
13.0,14.35413711509159
13.1,14.46250760198268
13.2,14.570878088873428
13.3,14.67924857576429
13.4,14.78761906265504
13.5,14.895989549545902
13.6,15.004360036436992
13.7,15.112730523327741
13.8,15.221101010218604
13.9,15.329471497109353
14.0,15.437841984000215
14.1,15.546212470891305
14.2,15.654582957782168
14.3,15.762953444672917
14.4,15.87132393156378
14.5,15.979694418454642
14.6,16.088064905345732
14.7,16.196435392236708
14.8,16.304805879127457
14.9,16.41317636601832
15.0,16.521546852909296
15.1,16.62991733980016
15.2,16.73828782669125
15.3,16.846658313581884
15.4,16.955028800472746
15.5,17.063399287363723
15.6,17.171769774254813
15.7,17.28014026114579
15.8,17.388510748036424
15.9,17.4968812349274
16.0,17.605251721818263
16.1,17.713622208709126
16.2,17.821992695600102
16.3,17.930363182490964
16.4,18.038733669381827
16.5,18.147104156272576
16.6,18.255474643163552
16.7,18.36384513005453
16.8,18.472215616945277
16.9,18.580586103836367
17.0,18.68895659072689
17.1,18.79732707761798
17.2,18.90569756450884
17.3,19.014068051399704
17.4,19.122438538290453
17.5,19.230809025181202
17.6,19.339179512072292
17.7,19.447549998963495
17.8,19.555920485854017
17.9,19.66429097274488
18.0,19.77266145963563
18.1,19.88103194652672
18.2,19.989402433417695
18.3,20.097772920308444
18.4,20.206143407199193
18.5,20.31451389408994
18.6,20.42288438098103
18.7,20.53125486787212
18.8,20.639625354762757
18.9,20.747995841653733
19.0,20.856366328544368
19.1,20.964736815435458
19.2,21.073107302326548
19.3,21.181477789217183
19.4,21.289848276107932
19.5,21.39821876299868
19.6,21.50658924988977
19.7,21.61495973678086
19.8,21.723330223671496
19.9,21.83170071056236
20.0,21.940071197452994
