"DiscreteTimes","Duration","Mean","Var","M","Alg"
0.0,10.0,0.27843066739868694,4.100638668398785e-5,1024,"Direct MC"
0.1,10.0,0.5271635424389295,7.135153033567353e-5,1024,"Direct MC"
0.2,10.0,0.7270190829307779,9.21005205427594e-5,1024,"Direct MC"
0.3,10.0,0.91795588116523,0.00011318394178933184,1024,"Direct MC"
0.4,10.0,1.1042744084416014,0.00013422654975529992,1024,"Direct MC"
0.5,10.0,1.2854016932106345,0.0001562949724430478,1024,"Direct MC"
0.6,10.0,1.4715995526952055,0.0001798327744447094,1024,"Direct MC"
0.7,10.0,1.662466397786373,0.0002024099498026608,1024,"Direct MC"
0.8,10.0,1.846251340283813,0.00022560012559777243,1024,"Direct MC"
0.9,10.0,2.0221672736105067,0.0002510665192012215,1024,"Direct MC"
1.0,10.0,2.211979606834207,0.00027863348382529057,1024,"Direct MC"
1.1,10.0,2.4032826837796115,0.00030354475676375013,1024,"Direct MC"
1.2,10.0,2.5947275667615664,0.0003278334846792387,1024,"Direct MC"
1.3,10.0,2.7909321570799692,0.00035189603938410045,1024,"Direct MC"
1.4,10.0,2.976611886502269,0.00037733428686247285,1024,"Direct MC"
1.5,10.0,3.166897217068376,0.0004014581595385275,1024,"Direct MC"
1.6,10.0,3.362605522482608,0.00043091172102002295,1024,"Direct MC"
1.7,10.0,3.551621999264923,0.00045628416795819417,1024,"Direct MC"
1.8,10.0,3.7439609372981155,0.00048797102187309217,1024,"Direct MC"
1.9,10.0,3.943917173167862,0.0005226441782410835,1024,"Direct MC"
2.0,10.0,4.154153948487789,0.0005549999773254738,1024,"Direct MC"
2.1,10.0,4.362060954081466,0.000588303627897225,1024,"Direct MC"
2.2,10.0,4.564443844187903,0.0006225345436774404,1024,"Direct MC"
2.3,10.0,4.774928426081286,0.0006657499338201081,1024,"Direct MC"
2.4,10.0,4.987163202501602,0.0007069216940323716,1024,"Direct MC"
2.5,10.0,5.205840985282748,0.0007458231790674174,1024,"Direct MC"
2.6,10.0,5.416379050031211,0.000786808316405,1024,"Direct MC"
2.7,10.0,5.63168870304723,0.0008299850031312397,1024,"Direct MC"
2.8,10.0,5.850860793101068,0.0008790613370987391,1024,"Direct MC"
2.9,10.0,6.0753889615745695,0.0009183714484791038,1024,"Direct MC"
3.0,10.0,6.304445645198457,0.0009656948402120288,1024,"Direct MC"
