"t","Mean","Std","Comp","traj1","traj2","traj3","traj4","traj5"
0.0,50.0366,7.086288308289383,S,56,44,65,53,65
0.025,50.031,7.084536545590448,S,60,45,63,51,66
0.05,50.0094,7.092640001735693,S,58,47,63,50,64
0.075,50.0103,7.12720657883315,S,58,46,61,48,62
0.1,50.0131,7.1364291667559,S,57,47,62,48,63
0.125,50.0036,7.141350497538336,S,55,48,62,48,65
0.15,50.0068,7.138756890733447,S,53,52,59,51,65
0.175,50.0307,7.113790699184959,S,56,51,58,51,68
0.2,50.0302,7.097149069343957,S,54,51,59,50,69
0.225,50.0367,7.082864519880392,S,55,54,61,51,71
0.25,50.0385,7.066159551770784,S,56,58,57,51,71
0.275,50.0664,7.072735920373313,S,57,56,56,53,73
0.3,50.0614,7.065849040438473,S,60,56,55,51,73
0.325,50.0551,7.05799160629642,S,60,57,55,53,74
0.35,50.0579,7.0631675913603,S,59,57,54,54,74
0.375,50.0712,7.08577105014945,S,60,55,54,54,74
0.4,50.0749,7.087123021457425,S,60,55,54,53,75
0.425,50.0895,7.0939496870372825,S,60,54,54,54,71
0.45,50.0808,7.061661140681134,S,59,57,55,55,69
0.475,50.0875,7.086273017357297,S,58,55,59,54,71
0.5,50.0825,7.0805442700908605,S,58,57,59,54,70
0.525,50.0993,7.076471377368463,S,60,57,59,52,70
0.55,50.0853,7.091491580428167,S,61,55,59,49,69
0.575,50.0881,7.085517542557101,S,59,56,59,51,66
0.6,50.0848,7.0853954895209235,S,60,57,56,52,66
0.625,50.0827,7.073264014327632,S,61,56,57,52,68
0.65,50.0868,7.0745085078091385,S,59,53,55,51,67
0.675,50.0775,7.093794890084828,S,58,54,55,51,64
0.7,50.0909,7.0740258250968475,S,55,53,55,52,63
0.725,50.1257,7.077577885185939,S,54,53,54,53,67
0.75,50.1347,7.084304810457001,S,55,53,55,52,69
0.775,50.1154,7.057411958101432,S,56,52,56,50,69
0.8,50.1232,7.052786395432293,S,55,52,54,51,67
0.825,50.1373,7.062948197015416,S,60,52,51,50,67
0.85,50.1284,7.084908823217378,S,61,53,55,53,70
0.875,50.1056,7.067506180001517,S,62,51,57,52,67
0.9,50.0887,7.075947937479493,S,57,51,58,53,66
0.925,50.0761,7.06852921055854,S,56,52,60,53,66
0.95,50.0749,7.073704384505462,S,55,54,59,52,66
0.975,50.0849,7.081575168046052,S,55,53,58,54,69
1.0,50.099,7.100538061589125,S,57,53,55,52,70
1.025,50.0794,7.097783702913888,S,56,53,53,51,69
1.05,50.0703,7.0894840424673555,S,53,52,52,53,66
1.075,50.0656,7.085189950288062,S,54,55,52,54,61
1.1,50.0697,7.084282646539413,S,54,57,51,56,61
1.125,50.0577,7.083656437804902,S,52,58,51,57,61
1.15,50.0438,7.080712902633511,S,53,57,53,52,59
1.175,50.0904,7.076159625354984,S,53,59,55,55,61
1.2,50.0785,7.0779197116627985,S,55,61,58,55,60
1.225,50.0791,7.064009712147961,S,56,59,59,54,56
1.25,50.0799,7.066010815225442,S,55,59,57,54,56
1.275,50.103,7.081511546313995,S,56,60,56,54,55
1.3,50.11,7.082917250093886,S,52,61,58,55,53
1.325,50.0962,7.05574403676903,S,51,58,57,56,56
1.35,50.0736,7.072834335579636,S,51,56,55,56,53
1.375,50.0366,7.06892194084363,S,51,56,53,56,54
1.4,50.0385,7.053863724891851,S,52,50,57,55,55
1.425,50.0257,7.0621120674119595,S,53,51,56,58,55
1.45,50.0299,7.074617375597054,S,55,50,55,57,54
1.475,50.0305,7.053066306538821,S,54,49,54,55,54
1.5,50.0312,7.0354229636624,S,53,48,54,55,53
1.525,50.02,7.034639195784084,S,53,49,54,58,51
1.55,50.0155,7.043281943245908,S,54,52,54,57,49
1.575,50.0153,7.0486476896939045,S,51,53,54,57,46
1.6,50.0246,7.034439791079109,S,52,53,55,57,48
1.625,50.0213,7.013926562673944,S,52,53,53,59,49
1.65,50.0099,7.040366372985659,S,49,54,52,58,48
1.675,50.0091,7.05319728557165,S,49,52,51,56,48
1.7,50.0043,7.036393436503188,S,48,52,50,56,47
1.725,49.9992,7.0272282981098515,S,52,53,53,56,47
1.75,49.9985,7.051061586523618,S,53,52,53,58,47
1.775,50.0081,7.075156547668578,S,54,52,54,59,45
1.8,50.0225,7.079760310250937,S,53,53,53,57,45
1.825,50.0114,7.068101997466148,S,54,52,54,57,46
1.85,49.9975,7.057611121156681,S,54,53,50,58,47
1.875,49.9926,7.051887559498865,S,53,53,52,59,47
1.9,49.9781,7.056429671581237,S,54,51,54,59,48
1.925,49.9652,7.067091575629572,S,55,54,55,57,49
1.95,49.9656,7.056103421829212,S,53,55,57,59,51
1.975,49.9592,7.038798891073909,S,56,55,58,61,49
2.0,49.9694,7.0196289901329525,S,55,55,57,61,50
2.025,49.9533,7.008711102130782,S,59,54,54,58,48
2.05,49.9747,6.999439915158345,S,60,53,52,58,46
2.075,49.9826,6.997699194692639,S,59,51,52,58,48
2.1,49.9977,7.018078088195232,S,58,50,53,58,46
2.125,50.0043,7.009079413833786,S,59,50,54,56,43
2.15,49.9916,7.014930531732754,S,58,52,55,56,40
2.175,49.998,7.027099971780763,S,59,53,57,56,38
2.2,50.0078,7.0448777271304985,S,59,55,56,55,38
2.225,50.0065,7.042813207219626,S,60,57,55,53,38
2.25,50.0064,7.060208473860338,S,61,58,55,51,36
2.275,50.001,7.040479801518101,S,61,59,55,50,35
2.3,49.9981,7.062201063293661,S,60,58,52,50,38
2.325,50.024,7.042356386774714,S,62,57,52,53,36
2.35,50.0075,7.053199168593694,S,62,56,51,53,36
2.375,49.9891,7.055845781050559,S,64,57,51,53,37
2.4,50.0,7.076072857221587,S,62,56,51,55,35
2.425,50.0096,7.1036577926727595,S,63,58,51,56,36
2.45,50.0143,7.093879603064872,S,62,57,50,53,38
2.475,50.0224,7.072828340209646,S,62,56,49,51,40
2.5,50.0543,7.0775391673989505,S,61,53,48,53,39
2.525,50.047,7.078220194378852,S,60,52,48,52,40
2.55,50.0605,7.0630749998032565,S,59,53,50,50,39
2.575,50.0382,7.0446365023573545,S,57,54,49,51,38
2.6,50.0031,7.06609392510002,S,58,56,50,48,35
2.625,50.0345,7.027051137907698,S,58,54,48,49,36
2.65,50.0421,7.004286801192491,S,59,54,49,50,39
2.675,50.034,7.004423616188525,S,57,54,50,48,39
2.7,50.0598,7.015279422413425,S,55,54,48,48,39
2.725,50.0693,7.022195428273374,S,55,54,49,50,40
2.75,50.0855,7.008716142075932,S,53,56,50,49,41
2.775,50.1028,7.030873023853323,S,54,57,49,55,39
2.8,50.0917,7.019702182562542,S,54,57,49,57,40
2.825,50.063,7.031683685828458,S,56,55,49,56,40
2.85,50.0699,7.036871872257869,S,54,55,49,55,39
2.875,50.0591,7.019325771285167,S,55,56,51,53,41
2.9,50.0336,7.010719368125206,S,56,53,50,54,43
2.925,50.0391,6.999262115181553,S,56,52,50,52,44
2.95,50.0242,6.995391905446994,S,54,51,51,50,43
2.975,49.9803,6.981932873400095,S,55,51,52,46,43
3.0,49.9799,6.9767731456851765,S,55,53,51,45,43
3.025,49.9812,6.981083018558896,S,56,55,50,44,43
3.05,49.9571,6.987355859278134,S,56,58,51,45,43
3.075,49.9335,6.988731071245917,S,54,57,53,45,40
3.1,49.9145,6.9922871049389625,S,54,57,53,46,41
3.125,49.892,7.004216009246801,S,53,57,53,48,44
3.15,49.8878,7.005577704365021,S,53,59,50,49,44
3.175,49.8836,6.993936127407317,S,52,59,49,49,45
3.2,49.8988,6.990911660476388,S,51,62,47,45,44
3.225,49.8983,6.992055920442534,S,49,60,46,45,45
3.25,49.9063,6.989249263728364,S,50,58,46,47,47
3.275,49.8876,7.004318117220872,S,51,56,46,46,48
3.3,49.9046,7.018477380634261,S,48,55,44,46,48
3.325,49.9167,7.03929799636495,S,49,58,44,48,50
3.35,49.9074,7.0374553510328415,S,51,58,44,50,50
3.375,49.8959,7.0267204775817556,S,51,57,44,50,51
3.4,49.898,7.020151298399846,S,50,56,45,53,50
3.425,49.9058,7.02107227605521,S,50,56,47,51,50
3.45,49.9091,7.04320934445277,S,47,55,49,49,49
3.475,49.9186,7.080422817793255,S,47,57,48,49,50
3.5,49.926,7.080419283751704,S,43,56,49,49,51
3.525,49.9064,7.062466062409604,S,42,56,48,48,53
3.55,49.8959,7.053866946143027,S,43,55,48,49,53
3.575,49.891,7.043087356262938,S,44,54,49,47,52
3.6,49.8792,7.03851983275918,S,45,52,51,48,51
3.625,49.933,7.018691986668105,S,44,56,51,50,48
3.65,49.9482,7.0154143401396185,S,45,57,55,49,51
3.675,49.9355,7.025886140381595,S,46,56,54,50,52
3.7,49.9268,7.021579025917263,S,47,55,58,51,50
3.725,49.9104,7.047463268002939,S,48,55,59,50,52
3.75,49.9168,7.058431830512387,S,46,53,58,50,52
3.775,49.9073,7.091285873770213,S,48,54,60,49,53
3.8,49.9097,7.091091190178507,S,48,54,57,48,52
3.825,49.9127,7.085414527033816,S,49,55,57,52,52
3.85,49.9006,7.079995217034234,S,51,57,56,56,53
3.875,49.8963,7.057926589500169,S,46,55,56,60,53
3.9,49.8939,7.078110818239202,S,44,55,56,57,57
3.925,49.8786,7.0723167212999964,S,43,54,53,57,54
3.95,49.8675,7.093840709206891,S,43,55,49,56,54
3.975,49.8736,7.118264536317821,S,42,55,49,57,54
4.0,49.8762,7.1186333698333195,S,43,53,47,56,54
4.025,49.8927,7.098607309365269,S,44,53,45,57,56
4.05,49.9224,7.107645890378181,S,46,57,45,58,56
4.075,49.9369,7.091695679085686,S,45,57,47,56,57
4.1,49.9446,7.095545469979839,S,47,59,51,54,58
4.125,49.9419,7.084443755463924,S,46,58,51,52,57
4.15,49.9149,7.088306031643901,S,48,55,50,50,53
4.175,49.9167,7.093094691968445,S,48,58,51,54,54
4.2,49.9056,7.077859722389589,S,49,58,51,52,55
4.225,49.9275,7.074563498539626,S,52,58,50,55,56
4.25,49.9322,7.064728883645909,S,51,58,50,54,56
4.275,49.9648,7.084135759423715,S,49,59,51,52,56
4.3,49.9436,7.102947573115211,S,52,59,51,53,56
4.325,49.9626,7.098481533681003,S,52,59,51,53,55
4.35,49.9676,7.083993826709063,S,51,58,50,52,53
4.375,49.9547,7.063316285831706,S,51,57,52,54,53
4.4,49.9521,7.09758009143365,S,50,58,50,56,54
4.425,49.9424,7.096768183608197,S,49,60,51,56,54
4.45,49.9574,7.106956882070679,S,49,60,48,55,54
4.475,49.9723,7.121516995025036,S,48,62,52,55,54
4.5,49.9969,7.108188448845613,S,51,60,52,55,54
4.525,50.0117,7.0911065066849,S,51,57,53,57,54
4.55,49.9827,7.079732549418596,S,51,58,52,57,52
4.575,49.9922,7.0820586495363065,S,51,59,54,55,52
4.6,49.9887,7.0677979376017745,S,50,58,53,55,51
4.625,50.0239,7.099180841960498,S,51,57,53,53,52
4.65,50.0097,7.078079953743324,S,52,55,55,51,52
4.675,50.0072,7.04323142249961,S,52,53,54,50,50
4.7,49.9846,7.045461425106942,S,52,51,54,54,49
4.725,49.9776,7.065259374503036,S,50,51,50,55,49
4.75,49.9685,7.0615079295731356,S,46,52,52,53,48
4.775,49.9621,7.071157169542401,S,48,54,56,55,48
4.8,49.9693,7.07394950407183,S,47,55,56,55,47
4.825,49.9631,7.083710629721408,S,47,54,55,54,50
4.85,49.9738,7.1043761707891795,S,50,52,58,55,50
4.875,49.9638,7.087870861643499,S,48,54,57,56,49
4.9,49.9653,7.081561322270413,S,49,52,55,55,49
4.925,49.9817,7.072225020930485,S,51,51,55,54,48
4.95,49.9693,7.058097419554217,S,52,53,55,54,47
4.975,49.9871,7.057458066573007,S,54,50,52,55,45
5.0,50.0097,7.055918402904821,S,55,48,54,52,46
5.025,50.0045,7.042303540313725,S,56,46,50,51,47
5.05,50.0053,7.003840181481087,S,54,43,53,52,45
5.075,50.0056,6.99883326038712,S,54,41,51,51,47
5.1,50.0108,7.020542155789391,S,54,40,53,50,46
5.125,49.9913,7.036133528259853,S,53,41,53,49,46
5.15,50.0109,7.031253447466145,S,54,41,51,47,45
5.175,50.0127,7.051263059982503,S,55,40,49,49,45
5.2,50.0341,7.032558771762039,S,57,41,49,52,45
5.225,50.012,7.039006375979139,S,59,43,48,54,44
5.25,50.0399,7.030110257671878,S,59,44,47,54,43
5.275,50.0176,7.028216688675887,S,56,43,47,54,44
5.3,50.0139,7.040189146345535,S,55,44,44,54,43
5.325,49.9977,7.0463224291809485,S,54,44,45,56,42
5.35,50.0111,7.075421043888091,S,51,45,45,57,42
5.375,49.9949,7.063020785489771,S,51,46,45,57,48
5.4,49.9821,7.077413974670182,S,51,47,47,56,49
5.425,49.9789,7.075836454876126,S,50,49,45,56,48
5.45,49.9664,7.074042355508265,S,50,50,45,56,46
5.475,50.0071,7.067690203629589,S,50,47,44,57,47
5.5,50.033,7.074497568844481,S,51,47,46,57,44
5.525,50.0086,7.0888892835990776,S,51,47,45,55,44
5.55,50.0139,7.099151117187084,S,51,48,46,53,45
5.575,50.0134,7.093620541390586,S,52,46,45,54,44
5.6,49.9982,7.086142681445983,S,50,45,45,53,45
5.625,50.0012,7.0750409313599105,S,48,46,44,52,44
5.65,49.9975,7.081066861765295,S,47,43,41,53,44
5.675,49.977,7.09486467175176,S,49,45,41,53,43
5.7,49.9994,7.098565954040738,S,49,43,39,51,45
5.725,50.0104,7.077972987385894,S,49,44,39,52,46
5.75,50.0102,7.059028187214906,S,47,45,41,49,45
5.775,49.9877,7.030269637724976,S,50,46,38,49,45
5.8,49.9992,7.039172845969612,S,50,47,40,49,44
5.825,50.0018,7.032932743478908,S,50,47,40,50,43
5.85,50.0019,7.052621522315936,S,50,46,41,52,42
5.875,49.9813,7.059216214520986,S,50,45,42,53,41
5.9,49.9809,7.028547164067669,S,50,45,44,54,41
5.925,49.9986,7.032875953293811,S,50,46,47,53,41
5.95,49.9984,7.012283126875665,S,50,45,48,54,41
5.975,50.0023,7.020557209535005,S,50,43,48,51,44
6.0,50.0273,7.039013388319946,S,50,43,49,50,43
6.025,50.0334,7.068909490730363,S,49,46,50,50,45
6.05,50.0518,7.083356136282836,S,49,46,50,50,44
6.075,50.0768,7.0705516779176945,S,49,45,49,49,41
6.1,50.0522,7.065328516545067,S,50,50,49,50,41
6.125,50.0543,7.088665348825693,S,50,49,47,49,41
6.15,50.0393,7.0909649335170615,S,50,49,45,52,41
6.175,50.0296,7.0698035370301895,S,50,52,43,52,39
6.2,50.0554,7.0668751872727205,S,49,52,42,52,41
6.225,50.0223,7.072878146167097,S,49,52,43,50,41
6.25,50.0035,7.063517330459989,S,47,52,44,48,40
6.275,50.0239,7.0668467382757445,S,49,52,42,47,42
6.3,50.0352,7.05361866800519,S,51,51,40,46,40
6.325,50.0207,7.053045161815214,S,50,53,40,45,39
6.35,49.9987,7.055003587352779,S,50,52,40,46,40
6.375,50.0154,7.070923747026571,S,50,51,41,48,41
6.4,50.0316,7.0900795738013604,S,51,51,46,47,41
6.425,50.0369,7.074810505191492,S,50,51,47,47,39
6.45,50.0623,7.065876546553585,S,52,50,47,46,39
6.475,50.0657,7.073244417426821,S,51,49,46,46,42
6.5,50.068,7.087989839157017,S,51,50,45,46,43
6.525,50.0512,7.082823956552916,S,51,49,46,46,41
6.55,50.0764,7.068334964892171,S,50,50,50,48,42
6.575,50.0638,7.066082543549189,S,50,49,50,50,43
6.6,50.0739,7.068255429275447,S,51,47,51,49,43
6.625,50.0638,7.070567788578544,S,52,46,47,46,44
6.65,50.0587,7.064973155969389,S,53,47,47,46,42
6.675,50.0579,7.063082634631315,S,54,48,47,46,41
6.7,50.068,7.071532836497532,S,54,49,45,45,41
6.725,50.0651,7.034018036014153,S,50,51,47,45,41
6.75,50.0939,7.037558917234837,S,47,52,47,46,41
6.775,50.088,7.035894142227968,S,49,51,50,45,44
6.8,50.0772,7.0204963426310485,S,50,51,52,44,44
6.825,50.0643,7.0123949459715735,S,50,51,52,43,43
6.85,50.0666,7.044439427852634,S,51,51,52,42,45
6.875,50.0682,7.028107013187767,S,50,52,52,39,43
6.9,50.0805,6.999094118659192,S,51,53,53,40,43
6.925,50.0611,6.987664097175324,S,50,54,52,41,44
6.95,50.0617,7.007096620591583,S,51,55,57,40,47
6.975,50.0737,7.023161737428448,S,52,55,56,39,44
7.0,50.0668,7.025245416874439,S,52,55,55,40,45
7.025,50.071,7.026641898491574,S,52,55,53,39,47
7.05,50.0643,7.009313700916485,S,51,50,49,39,46
7.075,50.051,7.019795349771645,S,53,52,50,40,46
7.1,50.0641,7.009044432758675,S,53,52,50,41,47
7.125,50.0584,7.005804562629212,S,52,51,51,42,46
7.15,50.0585,7.006024992006434,S,54,51,50,41,47
7.175,50.075,7.012752160834465,S,54,50,51,41,49
7.2,50.0598,7.027514678480259,S,54,50,49,41,49
7.225,50.0576,7.031118396286521,S,54,51,50,40,48
7.25,50.0276,7.016563365077255,S,55,51,52,39,47
7.275,50.0382,6.9977308882064895,S,59,52,51,38,48
7.3,50.0138,6.986207144726444,S,58,49,51,38,46
7.325,49.986,6.991515724734771,S,59,53,51,39,46
7.35,49.9776,6.997284790505787,S,57,53,51,40,48
7.375,49.9681,6.990620091731936,S,59,52,52,40,50
7.4,50.0064,6.981062423675683,S,59,52,51,41,52
7.425,50.0277,6.984970414480554,S,56,53,50,41,52
7.45,49.9875,6.970337316818516,S,56,51,50,42,51
7.475,49.9908,6.9763301440100465,S,55,53,50,41,50
7.5,50.005,6.971960687179916,S,56,54,46,42,49
7.525,49.9962,6.985532572863285,S,53,53,45,43,48
7.55,49.9853,6.989418366853834,S,54,53,45,42,48
7.575,49.9997,7.014899913190479,S,56,52,45,41,46
7.6,49.995,7.028151570039507,S,57,51,46,39,48
7.625,50.0012,7.034496924066249,S,56,51,45,40,47
7.65,49.9875,7.035303355174641,S,58,52,45,40,47
7.675,49.982,7.010662660483098,S,59,50,45,43,47
7.7,49.9677,7.014640206576694,S,59,52,45,44,48
7.725,49.9704,7.028005629359734,S,59,51,43,43,47
7.75,49.987,7.020752103301281,S,59,51,44,43,46
