N,Time,Variance
256,7.819781246,0.6175331049538387
304,8.145857998999999,0.7650308103241015
362,8.655730022,0.6830339474169786
431,9.340393907,0.6518059026698266
512,9.997625414,0.6103904421367794
609,10.903014070000001,0.5784953002833605
724,11.971404131000002,0.6523149745724509
861,13.125527471,0.7835993681396168
1024,14.442848281999998,0.5402228076211024
1218,16.134201739999998,0.781823230530649
1448,18.271523163999998,0.46050433611797814
1722,21.034517386,0.6090478032690684
2048,23.667976450999998,0.6310500623014208
