N,Time,Variance
512,609.00234108,0.010785959516395391
558,608.7803067780001,0.011395201655178292
609,608.7234733390001,0.011838686522135924
664,608.762999022,0.012312359338588864
724,607.098828338,0.013143140094993408
790,606.5909201229999,0.013417357743914804
861,608.6500857999999,0.014407615559306895
939,606.7231612759999,0.01503106790948942
1024,607.8046798,0.016550093695286035
1117,607.6410243090002,0.01637467702847603
1218,606.066916319,0.01760912889780323
1328,608.219183286,0.01801085517782163
1448,607.537000151,0.020289087111361508
1579,607.4681480930002,0.02044515357163693
1722,604.000838208,0.022578550386956078
1878,607.312561873,0.024836276965046894
2048,607.055201201,0.024241646284300738
2233,607.575404183,0.028194366764952707
2435,608.6173498119999,0.03130858380517824
2656,607.6195543289999,0.030580285151518394
2896,608.091680651,0.035339427187617255
3158,606.585938627,0.03802518778276183
3444,602.611305633,0.038071721594391095
3756,604.288005114,0.04045786388328636
4096,606.3229215030001,0.04535072551020373
