"TauL","DiscreteTimes","Lmax","NClusters","g","Mean","Var","M","N"
1.160092807424594,0.0,6,400,0.0001,0.0,0.0,256,14400
1.160092807424594,0.1,6,400,0.0001,-2.75672600307391e-5,1.921092744466686e-7,256,14400
1.160092807424594,0.2,6,400,0.0001,0.00019904063232287526,7.795016213784488e-7,256,14400
1.160092807424594,0.3,6,400,0.0001,-2.6360598280411444e-5,1.7411006925405164e-6,256,14400
1.160092807424594,0.4,6,400,0.0001,-0.0004208322787518328,3.172704595203775e-6,256,14400
1.160092807424594,0.5,6,400,0.0001,-0.0001601088167778168,5.304531988915006e-6,256,14400
1.160092807424594,0.6,6,400,0.0001,0.0005772905355964516,7.740584975615535e-6,256,14400
1.160092807424594,0.7,6,400,0.0001,0.0004928526051157354,1.0246902160226831e-5,256,14400
1.160092807424594,0.8,6,400,0.0001,-0.00031588858900755037,1.3336284148594872e-5,256,14400
1.160092807424594,0.9,6,400,0.0001,0.0004200640090898055,1.684165224533789e-5,256,14400
1.160092807424594,1.0,6,400,0.0001,0.0015610067351210298,2.053369679181505e-5,256,14400
1.160092807424594,1.1,6,400,0.0001,0.002176775863469326,2.4700622159741075e-5,256,14400
1.160092807424594,1.2,6,400,0.0001,0.0018312778010820493,2.8632549499832426e-5,256,14400
1.160092807424594,1.3,6,400,0.0001,0.0012876382284149363,3.29509911425113e-5,256,14400
1.160092807424594,1.4,6,400,0.0001,0.0026029150720730996,3.660915745827499e-5,256,14400
1.160092807424594,1.5,6,400,0.0001,0.00389983755079609,4.064995968668698e-5,256,14400
1.160092807424594,1.6,6,400,0.0001,0.0038706597147352612,4.4698346293253185e-5,256,14400
1.160092807424594,1.7,6,400,0.0001,0.004903118272721057,4.85894732469794e-5,256,14400
1.160092807424594,1.8,6,400,0.0001,0.005832111668092288,5.230028415620514e-5,256,14400
1.160092807424594,1.9,6,400,0.0001,0.00532383217639209,5.722647751477712e-5,256,14400
1.160092807424594,2.0,6,400,0.0001,0.007206263922885732,6.111467179019046e-5,256,14400
1.160092807424594,2.1,6,400,0.0001,0.007559046360111096,6.514810503318547e-5,256,14400
1.160092807424594,2.2,6,400,0.0001,0.007845665340719279,6.869668454708392e-5,256,14400
