"t","Cov","SqDiff","Var","Nobs"
0.0,0.0080391470186332,0.01254654334406744,1.2547798123879827e-6,10000
0.01,0.008028538236151682,0.01254244782363785,1.2543702193857236e-6,10000
0.02,0.008018091256704902,0.012538752750102085,1.2540006750777163e-6,10000
0.03,0.008007788486121053,0.012535370514335202,1.2536624176752878e-6,10000
0.04,0.007997617012194414,0.012532291447288528,1.2533544801768706e-6,10000
0.05,0.007987564793707819,0.012529473761341762,1.2530726834025164e-6,10000
0.06,0.007977619323824738,0.012526854522907586,1.252810733364095e-6,10000
0.07,0.007967771041797933,0.012524419957437968,1.2525672524690437e-6,10000
0.08,0.007958010784607518,0.012522133339238259,1.2523385677806039e-6,10000
0.09,0.007948329741222827,0.012519970491226723,1.2521222613488071e-6,10000
0.1,0.007938720885559738,0.012517904107538344,1.251915602314066e-6,10000
0.11,0.007929176731946779,0.012515930028056012,1.2517181746230635e-6,10000
0.12,0.007919691967647486,0.012514041820336459,1.2515293349671425e-6,10000
0.13,0.007910260295053873,0.012512239949301257,1.25134912984311e-6,10000
0.14,0.007900878344706923,0.012510485793410102,1.2511736967106812e-6,10000
0.15,0.007891541244450871,0.012508767782509625,1.2510018784388065e-6,10000
0.16,0.007882246946459734,0.012507120068806025,1.2508370905896614e-6,10000
0.17,0.007872989575905232,0.012505480255850935,1.2506730928943829e-6,10000
0.18,0.007863766783063891,0.012503888184545335,1.2505138698415176e-6,10000
0.19,0.007854575743746295,0.012502321190621146,1.2503571547775923e-6,10000
0.2,0.007845414942694655,0.012500780310769951,1.2502030513821333e-6,10000
0.21,0.007836282447057858,0.012499247710724871,1.250049776050092e-6,10000
0.22,0.00782717644890843,0.012497720324711251,1.2498970221733424e-6,10000
0.23,0.007818094085595402,0.012496182339894215,1.2497432083102526e-6,10000
0.24,0.007809035057576577,0.012494664496928647,1.2495914088337481e-6,10000
0.25,0.0077999963458523355,0.012493131381380898,1.2494380819462845e-6,10000
0.26,0.007790979099583804,0.012491604268731447,1.2492853554086855e-6,10000
0.27,0.007781981341783288,0.012490095593672786,1.24913447281456e-6,10000
0.28,0.007773001353119704,0.012488580176044522,1.2489829158960418e-6,10000
0.29,0.007764039574038171,0.012487040121004605,1.2488288949899596e-6,10000
0.3,0.007755094302954774,0.01248546279985195,1.248671147099905e-6,10000
0.31,0.007746165528167257,0.012483896570667884,1.2485145085176401e-6,10000
0.32,0.007737252959608482,0.012482289461178667,1.2483537814960163e-6,10000
0.33,0.007728355072344462,0.012480678946179768,1.2481927138893659e-6,10000
0.34,0.007719471505177241,0.012479052013390161,1.24803000433945e-6,10000
0.35,0.007710601819973904,0.01247741810707148,1.2478665973668847e-6,10000
