"t","mean","q05","q95","q25","q75","traj1","traj2","traj3","traj4","traj5","traj6","traj7","traj8","traj9","traj10","traj11","traj12","traj13","traj14","traj15","traj16","traj17","traj18","traj19","traj20"
0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.1,99.99999020559333,99.99099947319404,100.00891889839978,99.99633789626907,100.00369634065339,100.00596496321437,99.99907414200106,100.00473715717277,99.99250343184761,100.00744647214519,100.01081781277048,99.99896465385828,100.00663535975228,100.00383502396645,100.0002474554772,100.00619005034378,99.98729046165764,99.99915215457958,99.99370892336881,99.99756800994413,99.99610556371226,99.99571570320846,99.99369956485263,99.99733838605863,99.99752900817057
0.2,100.00005418190229,99.97497143868029,100.02539614621114,99.98950205335044,100.01043515040955,100.01836855793663,99.99986700436904,100.02248833480502,99.98689135161499,100.01140575754621,100.0312179548459,99.99913567545687,100.02211530334641,100.01372984969068,99.99641633646901,100.01322759328102,99.9753194030156,99.99300368394852,99.98894218594509,99.99958150347578,99.99216774921469,99.98010565291948,99.97848738701755,99.99637765907316,100.00110244769533
0.3,100.000100989909,99.95466987425675,100.04610728780348,99.98082185108748,100.0189957083856,100.03830098779028,99.99986881422672,100.02992817525396,99.9727729164089,100.01151977652482,100.04682824241046,100.00526711728861,100.03070430670562,100.02147690756547,100.00090810860715,100.01670477319543,99.96034890236844,99.98763156911915,99.9920914367459,100.00965068826957,99.98712869263274,99.96299133183419,99.95386595705611,99.99599083300691,100.01439412674112
0.4,100.00021716505952,99.93217900488278,100.06817911658426,99.97183043633962,100.02882603266599,100.05286901977125,100.00165498442725,100.02797968783815,99.96501664522823,100.01305775044014,100.07369745205071,100.00746301695271,100.04135077526207,100.02195854315065,100.02080041824098,100.00141457589353,99.93979702066885,99.99773456615141,100.01186742198612,100.01005887383079,99.98101114024256,99.95470095801151,99.92921724098152,99.99083186538289,100.02905387700417
0.5,100.00046572071945,99.90748488948742,100.09421720195252,99.96203696917904,100.03924991566019,100.06589656990928,99.99783949843444,100.01432619050979,99.97547052766431,100.01315303986514,100.10984077204161,100.00949083297944,100.04759462627247,100.02344313493377,100.0463459111066,99.97403868130823,99.92140095173313,100.01508239566323,100.01769374173846,100.0121260207952,99.98218601952821,99.95212613132114,99.90511737291497,99.97342048811859,100.03397024927057
0.6,100.0007372135077,99.88227178010027,100.12055077313723,99.95206455471416,100.0493912524115,100.07511086225146,99.99254814146407,99.99637262506242,100.00079001695214,100.0138714126902,100.15373266237238,100.00124998671552,100.04934674800298,100.03367756916785,100.07071145686893,99.95496192391947,99.92434274596438,100.02256963191599,100.014375488405,100.00879821840009,99.97904274024138,99.9406310190412,99.89992796438978,99.94857187526684,100.03607268740836
0.7,100.00105624013153,99.85565268604982,100.14938350836343,99.94091523622927,100.0603294019746,100.08805269463839,99.98910348749735,99.97196115494195,100.0327838197515,100.01285660275384,100.1895075970863,100.00545981578225,100.04737843319793,100.04788256056932,100.09593939299539,99.93578395113809,99.94113642440155,100.0273610700535,100.00409504877693,99.997020859436,99.95815247923838,99.92636060240646,99.90666800453877,99.91861145462437,100.03389534909651
0.8,100.00132242248901,99.82774794484614,100.17805349396738,99.93075377821323,100.07150805437345,100.08661922154208,99.98446668961621,99.9511414874657,100.07487774746251,100.00091507017534,100.2281165289225,99.99702211726282,100.05991581409772,100.07175537782706,100.1245814303301,99.91897220978255,99.94875980658743,100.03779345319313,99.99509416127353,99.97828921665351,99.93542304862811,99.91224788149502,99.91728277696208,99.88886815979578,100.02971433526415
0.9,100.0015527324507,99.8005559655187,100.20404293503536,99.91963926747235,100.08381748360111,100.08312455655224,99.97840800446802,99.92850790674574,100.11093834102611,99.9894347225667,100.28578899516084,99.99202293292684,100.0545444341959,100.09440048186184,100.15051278639241,99.88788565109591,99.9500649435513,100.05624702520598,99.97990504018982,99.94959942218479,99.90894037251701,99.90409992856335,99.91257938051577,99.86598285577854,100.009321723016
1.0,100.00172077723933,99.77426136463475,100.23175490789365,99.90735697310578,100.09514951789303,100.07992022923804,99.98134657352786,99.91440098485629,100.14066910310629,99.96902511279592,100.34338865970764,99.98831941839167,100.0476397038133,100.11853783171718,100.17363299328068,99.85326685970111,99.94979423317629,100.08136634275678,99.96266800599936,99.91909016785262,99.88926790330649,99.88565399753628,99.90666490153444,99.84086368698624,100.0003408310058
1.1,100.00182770672274,99.74733226974652,100.26073752697026,99.89542903843514,100.10803554659694,100.0836809348302,99.9851250630227,99.90327473780135,100.14692124727027,99.94255257039298,100.40435720032838,99.99143878299881,100.04929479806039,100.13509428412193,100.19502154722007,99.82638566080126,99.95116051216247,100.10839392516074,99.95282268176888,99.89325890367004,99.84919768001156,99.86822422132879,99.89669438482714,99.81685495186103,99.98278030752519
1.2,100.0019307769235,99.71774904075595,100.28929950043945,99.88140694299351,100.12057862523638,100.09232100552474,99.9929165578898,99.89437790862225,100.15637122099699,99.92372043715453,100.45641463197988,99.99527902879565,100.05393311655945,100.14790958924158,100.21759542367644,99.80106376805323,99.95721107012456,100.13414833223572,99.96226450265863,99.86508799535483,99.79368072628634,99.85636973395769,99.88666209852823,99.77805871916402,99.9691586728161
1.3,100.00201267032593,99.68936255579537,100.31427720585998,99.86892145927922,100.13359883243494,100.10710871393199,100.01033339037863,99.88629273310976,100.15900958654301,99.9169699318143,100.49428669957616,100.00464759429579,100.05341860241035,100.1523874809228,100.23445537680763,99.77901351226367,99.94148489014228,100.1589916545702,99.98179281668132,99.8528070275001,99.74239110097085,99.84543286710094,99.86755260520172,99.72877845050199,99.946748983378
1.4,100.00218583843397,99.6603295330408,100.34300991987391,99.85554168350122,100.14583888436323,100.13854603776605,100.03338888741463,99.8621308928585,100.15347873318737,99.90040705945755,100.53274441661684,100.0016228178449,100.05937088595893,100.16146168085031,100.25484631106448,99.76377715174755,99.92742219543351,100.17837197334485,100.01690882899207,99.85029899259287,99.70199173414132,99.82761215034138,99.86044361256815,99.6622142447172,99.92743917196256
1.5,100.00241792369542,99.63290623033619,100.37148533000196,99.84472932912378,100.15719820645211,100.17457132577995,100.05668989524416,99.83531990000043,100.13096316350693,99.87707739739977,100.58367429296206,100.0109539868167,100.06043081036563,100.18694161473132,100.2848217039078,99.75214994642708,99.92068897010537,100.18860723065691,100.0479988320813,99.853645530232,99.65825877439751,99.79936313643799,99.84881264459239,99.58560150458673,99.91683362072185
1.6,100.00257719892086,99.60376773203451,100.39982537109518,99.834154323587,100.16931950322575,100.20414632870164,100.07081182884504,99.8273239913504,100.10399632243102,99.84669968344284,100.63154471594464,100.0232912552787,100.05934701718148,100.23169259488974,100.33780695579495,99.72653315577388,99.90599769791064,100.21214875071128,100.07585712835896,99.85502234365508,99.61448796684718,99.77417840577934,99.8389671692784,99.49996096368179,99.92520894408229
1.7,100.00274037026041,99.57635905795712,100.42737632185316,99.82384531866622,100.17997171467859,100.23407033804568,100.08720579984353,99.82649103420671,100.07389863169891,99.81151861735009,100.67648270887193,100.02999357209823,100.07635286366059,100.28028062553749,100.39528652831974,99.68584895552773,99.90384178523315,100.24914733844011,100.09548478306908,99.84684124473527,99.57305647855114,99.74476486468545,99.84244978861096,99.41605517213803,99.94057314557146
1.8,100.00276050601062,99.55002866365915,100.45615446453573,99.81215334388455,100.19029063244534,100.26749427512662,100.10944396041207,99.8175992905289,100.0506223867379,99.78324875343047,100.71256849644062,100.03819504036953,100.09196372065549,100.33109485593151,100.43809723060416,99.65049016998897,99.91174301722072,100.27689869144803,100.12175415073442,99.82654151977415,99.52113945577177,99.72003302211438,99.85164342580288,99.3284419655465,99.95268719976063
1.9,100.00271130082182,99.5210321226261,100.48131907991039,99.80208871084552,100.20086304512441,100.29953455228207,100.12937647113908,99.80049008973002,100.033595812694,99.75434174398991,100.74369748091557,100.05024508177475,100.11805208390697,100.37851890241318,100.47588546208313,99.63123952823264,99.93234673491467,100.31178480729659,100.14780261442048,99.81555329724529,99.47304078788162,99.70220752674976,99.85258209568369,99.24790429945656,99.96538800322122
2.0,100.0026686459528,99.49404754383379,100.50539344212439,99.79089572547885,100.2126531351122,100.33868302968325,100.14789526497741,99.78545550961366,100.011611669652,99.74451260964473,100.76389373052425,100.06294375598429,100.14147890441036,100.42768334875998,100.50580572934835,99.61787259018199,99.94882566285769,100.34484768586456,100.15853192086094,99.80677924505916,99.42550558592987,99.672620086436,99.85115519503192,99.17077203458778,99.98537266531312
2.1,100.00259818826535,99.46592801314597,100.53157325528908,99.78000803181904,100.2223681281469,100.37676268353985,100.17050870623275,99.77127745122306,99.99652034415276,99.75128815542467,100.76703594557456,100.08366574897428,100.16814260094007,100.47802631756883,100.53792586631556,99.60717730984155,99.96773320831082,100.36992693163266,100.15311517693861,99.80208060287637,99.37120329031048,99.64818538278413,99.85100768661654,99.10637627173531,100.0190681668712
2.2,100.0028081693754,99.44303087042147,100.55691328425432,99.7692230078775,100.2334870368552,100.39953902454107,100.19354648230717,99.74952886254782,99.99453341073863,99.76377278209735,100.75779757158391,100.11224228882317,100.20248770264355,100.5214607066243,100.56388964678155,99.59702901799415,99.98448571256307,100.39049381323626,100.15122729946859,99.8054029948317,99.3242366502042,99.63311334749405,99.84312778437753,99.04470549832331,100.04137235173961
2.3,100.0031816424027,99.41807495267773,100.58288164343776,99.76082418487223,100.24176611521538,100.41449732963152,100.23035288776556,99.73182134372168,99.98975407249416,99.77707423293464,100.75184369579615,100.13845057344764,100.2274959481575,100.56386201974135,100.58646451009696,99.58587486155128,100.00531792632025,100.41026378499392,100.14632986153912,99.81306809922397,99.29403983328076,99.62098217880128,99.83070337598964,98.99089046425298,100.03685531673602
2.4,100.00353554853416,99.39306500180636,100.60642711201201,99.75046681019285,100.25436774109826,100.43866530483182,100.2918458886336,99.71566409985878,99.9808779273669,99.77976278425272,100.75583754262159,100.17518223312634,100.25704247872046,100.5870307216858,100.60021357906233,99.57139171356931,100.0090517919564,100.42796186380468,100.15391393061729,99.81666764592336,99.26136544798555,99.61150863195127,99.82047580420193,98.93994291984113,100.01759727104914
2.5,100.00391669077099,99.36767874441183,100.63054070609974,99.73924984416433,100.26543005044422,100.44363138844844,100.36651406377149,99.71107453187449,99.95993621434278,99.77562047200976,100.7611662477692,100.21513775650286,100.28931055100892,100.6088790057449,100.61601552361671,99.55780363199516,100.01789611227248,100.43781423852123,100.15824639588101,99.82471398738453,99.21340900017644,99.60987365068976,99.81276313961862,98.88934759743113,99.9876806975588
2.6,100.00437450463029,99.34627079812466,100.65422916633642,99.72774697567269,100.27613727903994,100.44455733039312,100.43144789401975,99.71715600254095,99.93886329689039,99.77029315509711,100.75264822472558,100.25205484904434,100.30610523037517,100.63232104609489,100.63591057315219,99.55863583535405,100.02526069299687,100.43185492973166,100.17455092305511,99.83323763950283,99.16908120349187,99.60181454751717,99.81278095753342,98.84301660409143,99.95310020214555
2.7,100.0048037430697,99.32541218583376,100.68073128395604,99.71595869032123,100.2865545759122,100.43252036286181,100.48621123086805,99.71700749009042,99.92016533822814,99.758130130047,100.73765539776161,100.28726197463773,100.311722837168,100.6438260577811,100.64449579302713,99.54803671014906,100.01773163216582,100.4196071729725,100.17746172856732,99.83384914532168,99.11979452261893,99.57651561888784,99.80786945965444,98.803751853189,99.92615697985158
2.8,100.00519001064399,99.29878886331083,100.70298886836756,99.70626595253142,100.29724488695051,100.40961676703526,100.54423761823654,99.70351120616351,99.90349503736722,99.73838045318637,100.73809865538064,100.3123762065617,100.31909477840277,100.65809376802436,100.64209258000457,99.5314435803843,100.01423210299029,100.40708412763252,100.19063616167738,99.82464753679818,99.08072540509197,99.54286508487864,99.79917357584685,98.76318439049003,99.90989561773799
2.9,100.00553587420728,99.27407951416136,100.7265849638083,99.69790678446456,100.31025325721797,100.39624348797906,100.59731482431243,99.69805706797855,99.88089522086048,99.7135274558007,100.74972565334643,100.34217984019489,100.33301091303473,100.67455880765628,100.64071436936726,99.5130512735825,100.01907796623766,100.39278046254651,100.20562557633559,99.79934817264271,99.0521588396558,99.50882636379183,99.80331382665258,98.73081570536738,99.90395983480448
3.0,100.0057383135386,99.25223078750415,100.74794501819746,99.69103913325341,100.31708337720127,100.39562835274053,100.64808997019733,99.70435514153448,99.86878781707665,99.68562360602175,100.76283918298091,100.37549495770826,100.35082280576147,100.69933043953698,100.63197520295823,99.49230985791625,100.0221704388037,100.36902933945721,100.21968885370657,99.77276133394342,99.03564604653198,99.48254194140338,99.8093419746731,98.69484174760521,99.90353490647075
