"t","Kernel","SqDiff","Var","Nobs"
0.0,-0.0,0.0,0.0,100000
0.00999999999999801,0.07775044077874484,178.34765057775434,0.0017834943407209506,100000
0.020000000000003126,0.1461989819235271,337.40593586860484,0.0033740930996170445,100000
0.030000000000001137,0.20686368245534772,477.66919308939123,0.004776739698290895,100000
0.03999999999999915,0.2605729345717471,605.168191101508,0.006051742428439364,100000
0.04999999999999716,0.30784162348905747,716.4368882546512,0.007164440526951781,100000
0.060000000000002274,0.34981774158166073,814.8942583384109,0.008149024073624845,100000
0.07000000000000028,0.38707570078116144,902.9257463703392,0.009029347757180964,100000
0.0799999999999983,0.42016339632709115,984.3744833289936,0.009843843271722653,100000
0.09000000000000341,0.44933416897147604,1051.6351578921422,0.010516456743488856,100000
0.10000000000000142,0.47536762170507607,1111.3870510102136,0.011113981649918635,100000
0.10999999999999943,0.49815840828445196,1166.3539910171046,0.011663656546736513,100000
0.11999999999999744,0.5184356899803714,1217.143973084151,0.012171561446455974,100000
0.13000000000000256,0.5365295862130606,1262.5322241505778,0.012625448495990737,100000
0.14000000000000057,0.552661954879716,1301.2845625170503,0.013012975754928052,100000
0.14999999999999858,0.5663832164158139,1336.5757910439745,0.013365891569355439,100000
0.1599999999999966,0.5790133295440213,1372.6484538251116,0.013726621804469161,100000
0.1700000000000017,0.5900804890028225,1406.2693791051183,0.014062834419395378,100000
0.17999999999999972,0.599862466823825,1432.1526382114182,0.01432166959881017,100000
0.18999999999999773,0.6084745955117871,1458.5776038385889,0.014585921897604865,100000
0.20000000000000284,0.6160091198358879,1480.7173119045701,0.014807321192257623,100000
0.21000000000000085,0.6226228841707159,1499.0848201846907,0.014990998111828024,100000
0.21999999999999886,0.6284704006800947,1517.9194857188522,0.01517934665065503,100000
0.22999999999999687,0.6336689659298482,1533.1549558352526,0.01533170287538128,100000
0.240000000000002,0.6382054536302991,1547.4153683118786,0.015474308426203048,100000
0.25,0.6423802635965465,1558.8467346454743,0.01558862323268707,100000
0.259999999999998,0.6457283460229453,1571.3305522600122,0.015713462657226694,100000
0.2700000000000031,0.6487261092228604,1583.368005268618,0.01583383839107009,100000
0.28000000000000114,0.6513805786050121,1590.9914398822746,0.015910073499557743,100000
0.28999999999999915,0.6536907885604091,1600.8636224479492,0.016008796312442616,100000
0.29999999999999716,0.6554123501671526,1614.0131528246552,0.016140292931175863,100000
0.3100000000000023,0.6571713533615049,1623.8866960350663,0.01623902935064417,100000
0.3200000000000003,0.6585050722388566,1632.6073362573084,0.016326236624939334,100000
0.3299999999999983,0.6599435846861155,1645.2731586285101,0.016452896115246255,100000
0.3400000000000034,0.6609462049985874,1651.7721518071571,0.01651788669693854,100000
0.3500000000000014,0.6617654190813955,1662.1431898184915,0.016621598114166056,100000
0.35999999999999943,0.6624244076185745,1662.8259091930388,0.01662842537618415,100000
0.36999999999999744,0.6629044298093698,1669.4432486710691,0.01669459943270502,100000
0.38000000000000256,0.6633061351199695,1672.9882962444942,0.016730050262947573,100000
0.39000000000000057,0.6636941665041575,1684.1732558153708,0.01684190097716348,100000
0.3999999999999986,0.6637307833593931,1686.8332116224444,0.016868500801232457,100000
0.4099999999999966,0.6641062250907613,1694.562015841551,0.016945789616311675,100000
0.4200000000000017,0.6641223215077817,1700.470514205131,0.017004875190803216,100000
0.4299999999999997,0.6640530724857466,1707.6738532670663,0.01707690930176368,100000
0.4399999999999977,0.6637057550267441,1714.5972131322649,0.017146143592758577,100000
0.45000000000000284,0.6636168792433006,1718.6397060871097,0.017186568926560362,100000
0.46000000000000085,0.6635368061292837,1720.532727558251,0.017205499330575816,100000
0.46999999999999886,0.6634409254512651,1723.3762751731747,0.017233935091082658,100000
0.4799999999999969,0.6629983552400207,1726.1175581372947,0.017261348194854895,100000
0.490000000000002,0.6627567936116668,1733.6627508813374,0.017336800876822142,100000
0.5,0.6625165860183169,1740.8295841074428,0.017408469925773686,100000
0.509999999999998,0.6622331252645751,1739.3884240368873,0.017394058180950682,100000
0.5200000000000031,0.6617184458652705,1744.8975301126056,0.01744914979262398,100000
0.5300000000000011,0.661458196616129,1747.15443435487,0.01747171906073931,100000
0.5399999999999991,0.6610990372477716,1751.7400577022918,0.017517575752780446,100000
0.5499999999999972,0.6605891512228624,1748.7707704151687,0.017487882582977517,100000
0.5600000000000023,0.6600345062820842,1756.5413739122087,0.017565589395016037,100000
0.5700000000000003,0.6595039046402221,1762.6900815240663,0.017627077086011522,100000
0.5799999999999983,0.659077917334106,1767.9591983458818,0.01767976878114663,100000
0.5900000000000034,0.6587175122797463,1770.7902331805954,0.01770807941260008,100000
0.6000000000000014,0.6580426834327933,1775.5988615571578,0.01775616617723335,100000
0.6099999999999994,0.6573708542397994,1781.6632240633246,0.017816810408737335,100000
0.6199999999999974,0.6570619936941767,1787.5536165081505,0.017875714922230727,100000
0.6300000000000026,0.6565012287887494,1792.4741279037119,0.0179249205282424,100000
0.6400000000000006,0.6560484419817812,1796.6917022933562,0.0179670966939005,100000
0.6499999999999986,0.6554509641439907,1804.856719963513,0.018048747687112,100000
0.6599999999999966,0.6548570802948386,1813.5282079385806,0.018135463434020147,100000
0.6700000000000017,0.6542080562976004,1818.0092280295953,0.018180274083036782,100000
0.6799999999999997,0.6539525815578774,1820.8829715641848,0.018209011805759904,100000
0.6899999999999977,0.6536458776960088,1822.8201746222335,0.018228384030062637,100000
0.7000000000000028,0.6528484325744771,1829.6435811164313,0.018296618777352086,100000
0.7100000000000009,0.6523483732749206,1833.5087190545582,0.018335270543251014,100000
