"DiscreteTimes","Duration","Mean","Var","M"
0.0,20.0,0.0,0.0,128
0.1,20.0,0.047147483499583476,8.972333148824247e-6,128
0.2,20.0,0.16441744204382788,2.9525881065988586e-5,128
0.3,20.0,0.31054036684335307,5.597813170435185e-5,128
0.4,20.0,0.49084201954258194,8.111448131255899e-5,128
0.5,20.0,0.6676796242948604,0.00010516251929658693,128
0.6,20.0,0.8490433454908258,0.00012978486598201323,128
0.7,20.0,1.0230756267532672,0.00015364129354934958,128
0.8,20.0,1.199276872496178,0.00017590875415078968,128
0.9,20.0,1.3843572741732977,0.00019961865980659777,128
1.0,20.0,1.562318139915768,0.00022361824354980958,128
1.1,20.0,1.747558603810317,0.00024435612054003037,128
1.2,20.0,1.9280519972031223,0.0002664423248320254,128
1.3,20.0,2.1092655209500526,0.0002872103689404543,128
1.4,20.0,2.289691382867327,0.0003117465286944226,128
1.5,20.0,2.474289727243491,0.0003359884238728761,128
1.6,20.0,2.659759081206776,0.00035919198802228874,128
1.7,20.0,2.84459340191996,0.0003769775772418522,128
1.8,20.0,3.0202752949949163,0.00040141917644786595,128
1.9,20.0,3.1995041184472246,0.00042557522967145154,128
2.0,20.0,3.3766255743594478,0.000451863721361396,128
2.1,20.0,3.5693655278727645,0.0004727017063602972,128
2.2,20.0,3.7541550041836804,0.0004957770255748542,128
2.3,20.0,3.940549058958327,0.0005165422808027606,128
2.4,20.0,4.120717765940946,0.0005423879276567586,128
2.5,20.0,4.305855753456752,0.000568349046179414,128
2.6,20.0,4.500023701016749,0.0005896011347569273,128
2.7,20.0,4.677651915867712,0.0006105152078572923,128
2.8,20.0,4.86183471182659,0.0006359420882469743,128
2.9,20.0,5.047467277350071,0.0006604779390209762,128
3.0,20.0,5.230245995255288,0.0006901942889625658,128
3.1,20.0,5.416216706436677,0.0007091666743614731,128
3.2,20.0,5.604799515409276,0.0007307383000622102,128
3.3,20.0,5.774768418933472,0.0007536470906260872,128
3.4,20.0,5.954186443858868,0.0007804822946089541,128
3.5,20.0,6.144945107606951,0.0007969540664394414,128
3.6,20.0,6.317618077926253,0.0008212742419602752,128
3.7,20.0,6.505366136530409,0.0008467868837133823,128
3.8,20.0,6.6896036265996806,0.0008711730139307774,128
3.9,20.0,6.8768339789510575,0.0008945973788099026,128
4.0,20.0,7.0612633802578,0.0009188765879420935,128
4.1,20.0,7.247112510095179,0.0009442868973904394,128
4.2,20.0,7.424498592354306,0.0009698896356568936,128
4.3,20.0,7.621183047353922,0.0009953600770421667,128
4.4,20.0,7.807306340224286,0.0010142026172065722,128
4.5,20.0,7.991164498872942,0.0010345171992656081,128
4.6,20.0,8.174197500930726,0.001062272334234678,128
4.7,20.0,8.361745421862745,0.0010862800322466379,128
4.8,20.0,8.540936532332406,0.0011061404736937026,128
4.9,20.0,8.728660234497545,0.001126635873048474,128
5.0,20.0,8.911199014526012,0.001144420535690431,128
5.1,20.0,9.096045595636811,0.0011630591752582102,128
5.2,20.0,9.280615845336811,0.0011880116830809977,128
5.3,20.0,9.451814036005217,0.0012091908088013885,128
5.4,20.0,9.635495178559662,0.001234163635749689,128
5.5,20.0,9.814091956237693,0.0012569844141256904,128
5.6,20.0,9.987317806899272,0.001282903753042353,128
5.7,20.0,10.161599813502043,0.001302068250703668,128
5.8,20.0,10.349835450764475,0.0013213233763702198,128
5.9,20.0,10.535756017359814,0.001343022874227016,128
6.0,20.0,10.718300023052768,0.0013698977940342606,128
6.1,20.0,10.896926123473252,0.0013988759072182837,128
6.2,20.0,11.074050536141105,0.0014163916592762576,128
6.3,20.0,11.260902645845116,0.0014386900045611447,128
6.4,20.0,11.439619331230679,0.0014671460954133505,128
6.5,20.0,11.630080259800751,0.0014910927541378835,128
6.6,20.0,11.807450154114777,0.0015148397552962325,128
6.7,20.0,12.006477151293868,0.001539956627172993,128
6.8,20.0,12.18408699280676,0.0015647798004173293,128
6.9,20.0,12.373174298181466,0.0015952398153480012,128
7.0,20.0,12.554680944574502,0.0016193316666160318,128
7.1,20.0,12.742708495585699,0.0016369648318092448,128
7.2,20.0,12.925427496134688,0.0016650011550878364,128
7.3,20.0,13.109920922436006,0.001688963839105714,128
7.4,20.0,13.289026345282872,0.0017113363150081007,128
7.5,20.0,13.476352304033187,0.00173201245307073,128
7.6,20.0,13.663186003234516,0.0017612851340112175,128
7.7,20.0,13.844607291544301,0.0017864070272994006,128
7.8,20.0,14.027968026914898,0.001813372466120536,128
7.9,20.0,14.210126931970336,0.001840313726785999,128
8.0,20.0,14.397735497924353,0.0018616102337553522,128
8.1,20.0,14.580162823448388,0.0018770942000407775,128
8.2,20.0,14.76012105143611,0.001900050970473338,128
8.3,20.0,14.939338659641251,0.0019189493633824182,128
8.4,20.0,15.118280934819682,0.0019461390536862691,128
8.5,20.0,15.296822011675161,0.001960809241968769,128
8.6,20.0,15.483071483236762,0.001988090773686301,128
8.7,20.0,15.67457042497071,0.0020198050064311806,128
8.8,20.0,15.860644341191126,0.002046545738320412,128
8.9,20.0,16.047877130132438,0.002066447958398953,128
9.0,20.0,16.225768079468114,0.002091274686687449,128
9.1,20.0,16.41157193106975,0.002123991425854596,128
9.2,20.0,16.591488050613314,0.0021471372905004825,128
9.3,20.0,16.783519301281174,0.0021706631313230364,128
9.4,20.0,16.968027028492052,0.0021958516399275606,128
9.5,20.0,17.15610397583504,0.00222100366147398,128
9.6,20.0,17.34119018681523,0.002246884921494848,128
9.7,20.0,17.53011359005195,0.002264097983485801,128
9.8,20.0,17.715468613651172,0.0022855020928671285,128
