"DiscreteTimes","Duration","Mean","Var","M"
0.0,1.0,0.0,0.0,4096
0.1,1.0,0.12292749714076998,1.48734037713861e-5,4096
0.2,1.0,0.2626032759580471,3.236089736540882e-5,4096
0.3,1.0,0.4106903360512861,5.1826267429562864e-5,4096
0.4,1.0,0.5764397688990098,7.020083398427027e-5,4096
0.5,1.0,0.7361625320835259,9.047004609090782e-5,4096
0.6,1.0,0.9043066101862917,0.00011123721597044951,4096
0.7,1.0,1.0883046194726285,0.00013184360784906322,4096
0.8,1.0,1.2801001009561976,0.00015853265302910992,4096
0.9,1.0,1.4948693375979298,0.00018193165362406983,4096
1.0,1.0,1.7336490372666675,0.00021055530575914507,4096
0.0,10.0,0.0,0.0,4096
0.1,10.0,0.13025891761812783,1.5259795718745707e-5,4096
0.2,10.0,0.28761316879548765,3.288083564855383e-5,4096
0.3,10.0,0.4477018548336418,5.1684073090791125e-5,4096
0.4,10.0,0.6126413638066502,6.965632040570278e-5,4096
0.5,10.0,0.7894733509080643,9.04887692382355e-5,4096
0.6,10.0,0.9772711414347875,0.00011394348411326387,4096
0.7,10.0,1.1628755388937286,0.00013872322435732617,4096
0.8,10.0,1.3419427899117844,0.00016189204536037202,4096
0.9,10.0,1.5334024061880802,0.00018820235815763823,4096
1.0,10.0,1.7153136327121035,0.00021455888405524486,4096
1.1,10.0,1.9025357193601848,0.00024014644383187232,4096
1.2,10.0,2.089470768052464,0.00027018725347693,4096
1.3,10.0,2.2799218377484496,0.00029496866463494316,4096
1.4,10.0,2.477318999513477,0.00032161194861972544,4096
1.5,10.0,2.6832600729888196,0.00034716570599254115,4096
1.6,10.0,2.8848367264729236,0.00037235926348810254,4096
1.7,10.0,3.0838490003154906,0.00039599074723435646,4096
1.8,10.0,3.2814085253523064,0.00042338887771113816,4096
1.9,10.0,3.484148901870747,0.000453486917048734,4096
2.0,10.0,3.6779391572329696,0.0004820602986924495,4096
2.1,10.0,3.8825238207640838,0.0005128821306496692,4096
2.2,10.0,4.090664086345173,0.0005455673299718734,4096
2.3,10.0,4.299379352038088,0.0005829128782822242,4096
2.4,10.0,4.515895704443462,0.0006106209027694488,4096
2.5,10.0,4.722291798138211,0.0006415573893770434,4096
2.6,10.0,4.919276895336692,0.0006739234042856713,4096
2.7,10.0,5.134595337161791,0.000710329257300283,4096
2.8,10.0,5.34206728580869,0.000747950553531694,4096
2.9,10.0,5.5561939859356935,0.0007871987317916362,4096
3.0,10.0,5.767101364529586,0.0008244847706471889,4096
3.1,10.0,5.989166808003614,0.0008595753541040155,4096
3.2,10.0,6.2208449600017195,0.0008966242984268805,4096
3.3,10.0,6.433355223886995,0.0009308297531413355,4096
3.4,10.0,6.654585333145484,0.0009778011146185741,4096
3.5,10.0,6.874785202540587,0.0010109737254065465,4096
3.6,10.0,7.103737940926068,0.0010562600059520245,4096
3.7,10.0,7.322066640024641,0.0010990987559215608,4096
3.8,10.0,7.554822605098755,0.0011358493702786942,4096
3.9,10.0,7.778697531028272,0.0011791510190083585,4096
4.0,10.0,8.006582971969147,0.001227690741071933,4096
4.1,10.0,8.234241679423524,0.0012753322415536116,4096
4.2,10.0,8.458291030039646,0.0013225470002419307,4096
4.3,10.0,8.679074485057141,0.001371567165089738,4096
4.4,10.0,8.908027281070728,0.0014176315825892452,4096
4.5,10.0,9.133718514014516,0.0014541167461096342,4096
4.6,10.0,9.363148030757186,0.001498793207197088,4096
4.7,10.0,9.595912341014465,0.0015347396147393326,4096
4.8,10.0,9.835996183815954,0.001576762367609526,4096
4.9,10.0,10.074399135367113,0.0016122944920596936,4096
5.0,10.0,10.30860773283472,0.0016567721358613369,4096
5.1,10.0,10.542622107999934,0.0016991682000999195,4096
5.2,10.0,10.772855560070473,0.0017385071871432764,4096
5.3,10.0,10.996465924159384,0.0017773419981790813,4096
5.4,10.0,11.228695680165638,0.0018099724533091703,4096
5.5,10.0,11.452646785418086,0.0018526509356705714,4096
5.6,10.0,11.682671982784044,0.001891139238861194,4096
5.7,10.0,11.914122316626882,0.0019351221831223132,4096
5.8,10.0,12.142713931598092,0.0019651325868508362,4096
5.9,10.0,12.37227050800501,0.0020082198234540874,4096
6.0,10.0,12.60491184626442,0.002047375412765921,4096
6.1,10.0,12.82147151214054,0.002084679816496464,4096
6.2,10.0,13.044676081331756,0.0021242015524822106,4096
6.3,10.0,13.266797223256333,0.002162512832990145,4096
6.4,10.0,13.495480249464434,0.0022132081493643927,4096
6.5,10.0,13.717530306880342,0.002256746959627037,4096
6.6,10.0,13.94676909946968,0.002305482850908264,4096
6.7,10.0,14.157973328081775,0.0023442445453084903,4096
6.8,10.0,14.387484478588437,0.0023932055234024397,4096
6.9,10.0,14.609812826827916,0.0024225882823992414,4096
7.0,10.0,14.830069799002406,0.0024563003127616068,4096
7.1,10.0,15.049186643021333,0.0024947589343366295,4096
7.2,10.0,15.267140426782003,0.0025314426115834224,4096
7.3,10.0,15.480176850648899,0.002563915357433689,4096
7.4,10.0,15.694398296017368,0.0026025790144777235,4096
7.5,10.0,15.901790934291572,0.002639629807407929,4096
7.6,10.0,16.112974827008838,0.0026762217852685875,4096
7.7,10.0,16.319832502570392,0.0027126738968625205,4096
7.8,10.0,16.525386035337675,0.0027473963798536633,4096
7.9,10.0,16.74183381486694,0.00278191234915943,4096
8.0,10.0,16.9536678868581,0.002824599222438968,4096
8.1,10.0,17.155100914193515,0.00286423456241267,4096
8.2,10.0,17.36206339144173,0.0028954545176857987,4096
8.3,10.0,17.563363399469882,0.002926282511424936,4096
