"DiscreteTimes","Mean","Var","M"
0.0,0.0,0.0,1024
0.1,0.046959664406402674,8.838106539061628e-6,1024
0.2,0.16523469930895782,2.9830679992995218e-5,1024
0.3,0.31867152901869694,5.434969667902475e-5,1024
0.4,0.48826314228449447,7.84248932572171e-5,1024
0.5,0.6637694494907282,0.00010351607029187379,1024
0.6,0.8429023397708041,0.00012920081441184623,1024
0.7,1.021865431574586,0.00015189688508315666,1024
0.8,1.1930342494684647,0.00017377417776910756,1024
0.9,1.3674714047139613,0.0001958729830385721,1024
1.0,1.5560101442096974,0.00021922415187613207,1024
1.1,1.7455171813812165,0.00023697032785985645,1024
1.2,1.9212824192799443,0.00026213473986022367,1024
1.3,2.085464182542002,0.00028916627140317195,1024
1.4,2.2713599090655063,0.0003121276158582947,1024
1.5,2.445066932545209,0.0003415128446529069,1024
1.6,2.6359745922640543,0.00036650470851888313,1024
1.7,2.8202757289103086,0.0003938288388405771,1024
1.8,3.0096539207717203,0.0004177322367065753,1024
1.9,3.1993140779305604,0.00044546486339526556,1024
2.0,3.3908960630882325,0.0004751443250710112,1024
2.1,3.589328392347251,0.0005018747554650715,1024
2.2,3.7854697184687067,0.0005265936017014879,1024
2.3,3.9857342683884496,0.000563728535141943,1024
2.4,4.180278266922509,0.0005941140053148486,1024
2.5,4.385373608007062,0.0006236614939769415,1024
2.6,4.577483823759488,0.0006554923019553758,1024
2.7,4.782734442182583,0.0006933525184368015,1024
2.8,4.9945185284313816,0.000729502253539296,1024
2.9,5.2193167482606615,0.0007701602318697981,1024
3.0,5.4299166074389245,0.0008088323256395336,1024
3.1,5.649959831797871,0.0008475681362721771,1024
3.2,5.871877880489158,0.0008960086774976162,1024
3.3,6.093932355171714,0.000932805747011456,1024
3.4,6.321971597887438,0.0009740199596644745,1024
3.5,6.5646614319092755,0.0010045966656038515,1024
3.6,6.8116561026826,0.001048853410535822,1024
3.7,7.057590560948153,0.0010908399586570202,1024
3.8,7.3004188114173,0.0011405223163142907,1024
3.9,7.553026233605901,0.0011887512384201157,1024
4.0,7.804761198859168,0.0012358551306238211,1024
4.1,8.064681462751144,0.0012879513737797364,1024
4.2,8.32397935911289,0.001342446641734474,1024
4.3,8.577681739133661,0.0013976551321480382,1024
4.4,8.835516353975121,0.001455733507690115,1024
4.5,9.12183542916562,0.00150995595309812,1024
4.6,9.387710591553237,0.0015794555650660894,1024
4.7,9.658522711308459,0.0016453820993181832,1024
4.8,9.939181633925484,0.0017091285148562434,1024
4.9,10.226939407503178,0.0017739710994198578,1024
5.0,10.502906164192167,0.0018464219264188873,1024
5.1,10.79320723556334,0.0019105685085591148,1024
5.2,11.08363145210011,0.0019787560363435258,1024
5.3,11.383547022532438,0.0020462221568589554,1024
5.4,11.699986409179376,0.0021144075350938703,1024
5.5,11.988574639831118,0.0021848098466093267,1024
5.6,12.297109213696686,0.0022692073750112704,1024
5.7,12.608544227191157,0.0023536018231726493,1024
5.8,12.91832977326995,0.002432982702887065,1024
5.9,13.23100476690162,0.002515801760665057,1024
6.0,13.554995666859659,0.002597196741910933,1024
6.1,13.880701543572615,0.0026791034430959995,1024
6.2,14.205718535545273,0.002781557051187294,1024
6.3,14.527782273441279,0.0028605998339474937,1024
6.4,14.864094517960059,0.002954880590339899,1024
6.5,15.193216292290138,0.003046381251972037,1024
6.6,15.537718903848768,0.0031359773643918933,1024
6.7,15.87455008858775,0.003227999172011745,1024
6.8,16.2043154737493,0.003337398596689813,1024
6.9,16.54598876867439,0.0034348804741128696,1024
7.0,16.891042731526767,0.0035340801833145313,1024
7.1,17.246801380956427,0.0036442484644601796,1024
7.2,17.59647627368433,0.003737394830573654,1024
7.3,17.956657665763395,0.003842198159189194,1024
7.4,18.308692765006093,0.0039628904099621685,1024
7.5,18.681318866559575,0.004074765687019263,1024
7.6,19.050059544082902,0.004185648914107242,1024
7.7,19.410929717303322,0.00429990083659282,1024
7.8,19.785969540154298,0.004437340001743635,1024
7.9,20.15895034600292,0.004541162007913075,1024
8.0,20.527807570421825,0.004651749245658541,1024
8.1,20.910160369992425,0.004768620203354408,1024
8.2,21.297309667432927,0.004916932005797737,1024
8.3,21.6899924175265,0.005076433687272164,1024
8.4,22.07533168143827,0.005207955278139568,1024
8.5,22.471547940985694,0.00533641557584099,1024
8.6,22.85538309181116,0.005438376667750726,1024
8.7,23.252942988019385,0.005574467459772939,1024
8.8,23.642567922646283,0.0057164769738916954,1024
8.9,24.03569957450416,0.0058764912929398175,1024
9.0,24.439197901188198,0.005988609321374424,1024
9.1,24.84520189326977,0.006151939579223402,1024
9.2,25.246466146354667,0.006281113238414708,1024
9.3,25.655949385950816,0.006410703846506081,1024
9.4,26.091965975881084,0.006548213575472906,1024
9.5,26.502293569111718,0.006671669567321096,1024
9.6,26.91740427512909,0.006815802419871891,1024
9.7,27.315495183234912,0.0069533240678508945,1024
9.8,27.745480356552463,0.007082891240273652,1024
9.9,28.16409538723899,0.007221228246029892,1024
10.0,28.576665323528996,0.007375834320636747,1024
10.1,29.014204750307858,0.007539080427097868,1024
10.2,29.43541197973584,0.007706573775478266,1024
10.3,29.865291797751723,0.007855218842258345,1024
10.4,30.294808325031575,0.008014316372056995,1024
10.5,30.721282406639908,0.008165237141980315,1024
10.6,31.141820678465756,0.008325025165490338,1024
10.7,31.57140434551771,0.008473045624385379,1024
10.8,32.006240893555564,0.008642070467812136,1024
10.9,32.44795365707396,0.008821326683280348,1024
11.0,32.88733390881341,0.009012578760547323,1024
11.1,33.32279755444745,0.009155202148175617,1024
11.2,33.761855038457504,0.009292534084727693,1024
11.3,34.21572890356747,0.009440308520071836,1024
11.4,34.66989457329938,0.0096450731944859,1024
11.5,35.121883950688925,0.00980119845032672,1024
11.6,35.57177713092984,0.009990167887879322,1024
11.7,36.0217968204254,0.010149403818966106,1024
11.8,36.4838050863738,0.010289166792885465,1024
11.9,36.95738047989416,0.01049618506389851,1024
12.0,37.42407367833026,0.010635889281463574,1024
12.1,37.88072166074887,0.010768970183170372,1024
12.2,38.33022493687029,0.010971060692687874,1024
12.3,38.7919604885082,0.011136924523921187,1024
12.4,39.2293315614556,0.011294729942773564,1024
12.5,39.699114645603785,0.011404790622254921,1024
12.6,40.164526720259374,0.011550900960161531,1024
12.7,40.6374550982263,0.01172639530702269,1024
12.8,41.11251993541287,0.011891933235520015,1024
12.9,41.581327067301046,0.012052126386450984,1024
13.0,42.07192547231375,0.012230058636738907,1024
13.1,42.539084136993786,0.01244482095291942,1024
13.2,43.02474554521214,0.012635567376208892,1024
13.3,43.51051557154826,0.01283300656844371,1024
13.4,43.99520647312193,0.013012749213908856,1024
13.5,44.48704372043801,0.013219457542421332,1024
13.6,44.97588899048363,0.013412641828463264,1024
13.7,45.444712566565485,0.013608013540705469,1024
13.8,45.94909372710941,0.01372275305063786,1024
13.9,46.43179264637414,0.01388990493400004,1024
14.0,46.92466032035194,0.014121370372286076,1024
14.1,47.410071277534016,0.01433418888579801,1024
14.2,47.89812192864362,0.014587944596136698,1024
14.3,48.37182076475346,0.014755366422651205,1024
14.4,48.877272714735334,0.014957855774198626,1024
14.5,49.37526720438798,0.015123402535624575,1024
14.6,49.88877097015624,0.015335587526580784,1024
14.7,50.40644008244889,0.015504543335336615,1024
14.8,50.89911204658158,0.015718870877104125,1024
14.9,51.417107456722206,0.015980094543180955,1024
15.0,51.93179807781045,0.01620128887004962,1024
15.1,52.428657354495925,0.016462967552352298,1024
15.2,52.93585165444153,0.01664440901049672,1024
15.3,53.463477803560984,0.01683605295258247,1024
15.4,53.9867006084291,0.017038069671146298,1024
15.5,54.5109245084575,0.017281671257674644,1024
15.6,55.0415804420357,0.01747206708099378,1024
15.7,55.559821212988744,0.017689906487484672,1024
15.8,56.08940458999468,0.0179175039940408,1024
15.9,56.61263037542579,0.018154842704149094,1024
16.0,57.13008425756981,0.018369241471731825,1024
16.1,57.660373735127635,0.018677228441527843,1024
16.2,58.174893228202336,0.018938269135850973,1024
