"g","info_rate","std","NClusters","Lmax"
0.0001,0.0035578561277024626,0.006724904002821745,30,2
0.0002,0.004585372804564229,0.006800447902233283,30,2
0.0003,-0.0063500146523383216,0.006889267186101512,30,2
0.0004,0.003131408031530354,0.005834215800231247,30,2
0.0001,0.003013135965929905,0.0047012559790774976,40,2
0.0002,-0.0013436930670505552,0.004643856097465121,40,2
0.0003,0.006156690609370964,0.004420171705673654,40,2
0.0004,0.002860582040504753,0.004621588812658517,40,2
0.0001,0.0014213951967553206,0.0029050203152068267,60,2
0.0002,0.00453566659775887,0.0031965828364515186,60,2
0.0003,-0.004862389127887595,0.0034771373290982217,60,2
0.0004,0.006438963207765529,0.0034452742977991225,60,2
0.0001,0.004213138692091316,0.006174500871794755,30,3
0.0002,0.005787719610706483,0.0069447414429658835,30,3
0.0003,-0.007149124373179533,0.006867277216826508,30,3
0.0004,0.016614046053854747,0.005654950477132128,30,3
0.0001,0.006047200661669513,0.00406349522961533,40,3
0.0002,0.003088428861954101,0.004492837295305339,40,3
0.0003,0.007185065332197503,0.0046563247995780165,40,3
0.0004,0.0031814243344841157,0.004687273080794816,40,3
0.0001,0.004626971867693749,0.003593726268536367,50,3
0.0002,0.006284418466030596,0.0036969636707332824,50,3
0.0003,0.0036547780436747205,0.0036316308239893787,50,3
0.0004,0.0014772175498673828,0.0033130917089206247,50,3
0.0001,-0.0023379401104526585,0.0033214865111634725,60,3
0.0002,0.0003548263089768575,0.0030592458738802684,60,3
0.0003,0.005474657026011514,0.0030838999761422002,60,3
0.0004,0.01065297265997551,0.0028632457878238577,60,3
0.0001,0.00033531802399408106,0.0023303243607117443,100,3
0.0002,0.0036440180856279264,0.0022898890573366136,100,3
0.0003,0.008866030726601859,0.002371094943239905,100,3
0.0004,0.012421490091894874,0.0025497855161144187,100,3
0.0001,0.000510102672034565,0.0018225902255218558,200,3
0.0002,0.006555322528114539,0.002089905327492124,200,3
0.0003,0.01643338087775747,0.0021248514184262733,200,3
0.0004,0.031209898607259166,0.002095152304206948,200,3
0.0001,0.002076029657356698,0.001542121520505221,400,3
0.0002,0.009146155423424347,0.0017426051457876404,400,3
0.0003,0.021337999939427442,0.002018652962349637,400,3
0.0004,0.042522278573179,0.00223612495169335,400,3
0.0001,0.0005859716523206525,0.0073118759713510974,30,4
0.0002,0.010990968491251639,0.00652925522289869,30,4
0.0003,0.01138645252798045,0.0066904703381547035,30,4
0.0004,0.0012879509153176463,0.006906977455968817,30,4
0.0001,0.004637478131770271,0.004476817453452725,40,4
0.0002,0.001025683562402404,0.004749794045925766,40,4
0.0003,0.0026347064654421585,0.004014156277206144,40,4
0.0004,0.006092120524507534,0.004752677591482635,40,4
0.0001,0.005878716554429073,0.002912074574962231,60,4
0.0002,0.010700810565429006,0.0030620205437913634,60,4
0.0003,0.008720275800595622,0.003481714011185138,60,4
0.0004,0.01803057664481568,0.003447076024524359,60,4
0.0001,-0.023829498319521275,0.005712758286617016,30,5
0.0002,-0.008439005007134853,0.00595651961204018,30,5
0.0003,0.006894834090699277,0.006337720635791083,30,5
